"104591","01015003540104101102","4","60"
"104592","01015003540104105102","4","30"
"104593","01015003540104106102","4","80"
"104594","01015003540104107102","4","40"
"104595","01015003560202902101","4","20"
"104596","01015003560202903101","4","40"
"104597","01015003560202906101","4","60"
"104598","01015003560202907101","4","30"
"104599","01015003580103402103","4","120"
"104600","01015003580103404103","4","40"
"104601","01015003580103408103","4","60"
"104602","01015003620302705103","3","50"
"104603","01015003620302707103","4","40"
"104604","01015003620503201102","1","30"
"104605","01015003620503204102","4","20"
"104606","01015003620503205102","4","30"
"104607","01015003620503207102","4","30"
"104608","01015003630203101102","4","60"
"104609","01015003630203102102","4","20"
"104610","01015003630203103102","4","80"
"104611","01015003630203106102","4","80"
"104612","01015003640102802101","2","20"
"104613","01015003640102805101","2","80"
"104614","01015003640102806101","2","60"
"104615","01015003640102807101","2","80"
"104616","01015003640102808101","2","85"
"104617","01015003640102809101","4","90"
"104618","01015003660203402103","4","30"
"104619","01015003660203406103","2","50"
"104620","01015003680102603102","4","60"
"104621","01015003680102604102","4","100"
"104622","01015003680102605102","4","30"
"104623","01015003680102607102","4","90"
"104624","01015003700103403103","4","35"
"104625","01015003700103404103","4","25"
"104626","01015003700103405103","4","25"
"104627","01015003700103407103","4","50"
"104628","01015003700103408103","4","60"
"104629","01015003750402704103","2","90"
"104630","01015003830204201103","4","20"
"104631","01015003830204202103","1","40"
"104632","01015003830204204103","4","80"
"104633","01015003830204208103","4","20"
"104634","01015003830204209103","3","25"
"104635","01015003830204210103","1","25"
"104636","01015003850104101102","4","60"
"104637","01015003850104104102","4","0"
"104638","01015003850104106102","4","15"
"104639","01015003850203503103","4","60"
"104640","01015003860102902101","2","50"
"104641","01015003860102906101","2","60"
"104642","01015003860203203102","4","80"
"104643","01015003860203204102","1","60"
"104644","01015003860203205102","4","120"
"104645","01015003860203206102","4","50"
"104646","01015003860203207102","4","60"
"104647","01015003930104203103","4","80"
"104648","01015003930104207103","4","40"
"104649","01015003960103501103","4","30"
"104650","01015003960103505103","4","70"
"104651","01015003960103506103","4","90"
"104652","01015003960103507103","2","80"
"104653","01015004060102701103","4","80"
"104654","01015004060102703103","1","120"
"104655","01015004060102705103","4","60"
"104656","01015004070102901101","4","40"
"104657","01015004070102905101","4","80"
"104658","01015004070102907101","4","60"
"104659","01015004070102908101","4","30"
"104660","01015004080103101102","4","60"
"104661","01015004080103103102","4","40"
"104662","01015004080103107102","4","100"
"104663","01015004110302504101","4","40"
"104664","01015004110302506101","4","30"
"104665","01015004120303501103","1","80"
"104666","01015004120303502103","4","50"
"104667","01015004120303508103","4","30"
